,Unnamed: 0,channel_url,channel_name
570,/channel/UC902de3y0s0T43_NR39IhGw,asmr athena,
571,/channel/UCtq9QuVaiYfON5zduqk8cAA,James and Mark,
572,/user/AlexAuAsmr,AlexAuAsmr,
575,/user/thedoctorstv,The Doctors,
576,/channel/UCw4XRZ8oyE0WK7Ue3nUGMPw,Foodie Geeks,
577,/user/haferny,ASMR Ly Crush,
578,/channel/UCGiqrL-tynsgcBaKRkocTwA,The Slime Space,
579,/channel/UCRh5jRONhWfbhWl-Dhb8Fjg,SYEDOT ASMR,
580,/channel/UCrDOti43mZoxP2z9JeFNXtQ,teabang,
582,/channel/UCS_6IsRKhSXWpiCdhcMuNHw,Backslash,
584,/channel/UCFPcY2OS0ptjpLpTyVM5Grg,Joette Press,
585,/channel/UCh-QB8-LyGSlqt5RI6YPOqA,Xxmckenly Xx,
586,/user/PaulandTech,Paul Bradford,
587,/channel/UCGk9oAT0YQPTqRarx65uddg,TOP ASMR,
589,/channel/UCxF7dPAQXTql8k4KRdRiFYw,ASMR JonOnTable,
592,/channel/UCYelabHtPqchTZ4n9rjUEaw,TheJourneyOfTheJoneses,
593,/channel/UCd2PMlRGk5X494kw397l54w,Asmr music,
594,/channel/UCk5bIh544LgQ2_ecTQQ5wQg,KIDFLIX [EN],
595,/channel/UCt0xZRkiBwOIFkyW6ctSvcg,MoBang ASMR,
596,/channel/UC3BofiiRjkJqOnwmhw3m4mw,Ksuffka ASMR,
597,/channel/UCR0e1dTXl8oHtMfD2bzgSBQ,재키키 [Jae Ki Ki],
599,/user/TheListShowTV,The List Show TV,
600,/user/NewMediaRockstars,New Rockstars,
601,/channel/UC7IX6_Ecvyp4qeYInIaOe4A,Pinay in Sk Lee,
602,/channel/UCm4SDj60MV1LMlsd64t3JyA,NEW FILMS INTERNATIONAL,
603,/channel/UCnlM7hLgehdwV6Q1ZXB6IEg,Harman Banger,
604,/channel/UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,
605,/user/mashable,Mashable,
607,/channel/UCE6acMV3m35znLcf0JGNn7Q,Gibi ASMR,
608,/channel/UCm1CqMWzmTYg6FRRCBRnnNQ,Hailey Macleod,
609,/user/GentleWhispering,Gentle Whispering ASMR,
610,/channel/UC_ezNsVh5IshqyAgWUNQAEA,ASMR Eating Pros,
611,/channel/UCikebqFWoT3QC9axUbXCPYw,ASMR Darling,
612,/channel/UC9KAzAzOLk103LV-xfOPMUQ,ini caraku88,
614,/user/jubileeProject,Jubilee,
615,/channel/UCiLeQ78NGh5cEjh4Ej6fV-A,KAT_ ASMR,
